date_sourced,uri,date_published
2022-01-10,nyt://article/6f45b821-a697-523e-829e-66556e55bf63,2021-12-21
2022-01-10,nyt://article/b7811354-a328-59f5-86db-8f5f700589fe,2021-12-16
2022-01-10,nyt://article/3f80bf2b-9d3d-56f7-be54-cdb8ccfc2b56,2021-12-10
2022-01-10,nyt://article/a978d157-36fa-51be-be2e-377b2091e2cb,2021-12-22
2022-01-10,nyt://article/92fbdcb5-4cc0-565c-a059-9f4e1fc521ff,2022-01-02
2022-01-10,nyt://article/4ce8e0c2-bdc1-5814-bcc6-35466240f9be,2021-11-30
2022-01-10,nyt://article/3b6a56da-6deb-5b02-817f-4074b116a4b8,2021-12-23
2022-01-10,nyt://article/afb0b221-5a83-5896-87db-e73a3e044c80,2021-11-19
2022-01-10,nyt://article/fcc316d4-ce70-5349-9789-15d3c6f2ff7d,2021-12-25
2022-01-10,nyt://article/d8077806-5dac-5720-9085-fb91fe1c3c64,2021-12-28
2022-01-10,nyt://article/61fcedbb-9b24-5fbd-bd6d-129f134a9257,2021-12-30
2022-01-10,nyt://article/82139060-11e8-5b81-ba00-73dcaf14d51c,2021-12-27
2022-01-10,nyt://article/cfadc565-e2f9-558b-9e45-267761891be3,2021-12-19
2022-01-10,nyt://article/d4cc9075-f608-574f-80bc-0ce8a99c8c14,2021-12-18
2022-01-10,nyt://article/14cffef1-8737-5510-ad47-7e5e06c81515,2022-01-07
2022-01-10,nyt://article/5e408189-3963-5994-8445-ac3e67801f16,2022-01-03
2022-01-10,nyt://article/3f5582aa-f227-5c65-a7a0-c7720a69d8ca,2022-01-05
2022-01-10,nyt://article/665f6e8f-bedd-58b5-a991-906928288b81,2021-12-16
2022-01-10,nyt://article/012dedcc-f270-5ac1-9fa2-59509bde6bdd,2021-12-09
2022-01-10,nyt://article/84c9aae3-4e0c-5e90-9742-6e6c9b2b453a,2021-12-12
